user_id,category_id,name,description,ingredients,steps,servings,time,rating,image
1,1,Mango Cashew Salad,Unique and delicious salad when you are out of the standard salad ingredients.,"[{ name: ""mango-cubed"", unit: ""grams"", quantity: 150 }, { name: ""toasted cashews"", unit: ""cup(s)"", quantity: 0.75 }, { name: ""balsamic vinegar"", unit: ""tablespoon"", quantity: 1 }, { name: ""ground cinnamon"", unit: ""teaspoon"", quantity: 0.5 }, { name: ""ground ginger"", unit: ""teaspoon"", quantity: 0.25 }, { name: ""salt"", unit: ""teaspoon"", quantity: 0.125 }] ","In a medium bowl, toss together mango, Granny Smith apple, cashews, balsamic vinegar, cinnamon, ginger, and salt.",6,15,0,https://images.media-allrecipes.com/userphotos/210090.jpg
2,2,Strawberry Banana Smoothie,"On top of being very refreshing, smoothies are great choices as a post workout snack since they contain liquids, carbohydrates and protein. Here is a delicious chocolate milk smoothie to enjoy in moderation, according to the intensity of your workouts.","[ { name: ""fresh strawberries"", unit: ""cup(s)"", quantity: 1.5 }, { name: ""chocolate milk"", unit: ""ml"", quantity: 125 }, { name: ""greek yogurt"", unit: ""cup(s)"", quantity: 0.75 }, { name: ""frozen banana-pieces"", unit: ""cup(s)"", quantity: 0.5 }, { name: ""oat bran"", unit: ""cup"", quantity: 0.25 }, { name: ""maple syrup"", unit: ""tablespoon"", quantity: 2 }, { name: ""ice-cubes"", unit: ""number"", quantity: 2 }, { name: ""nutmeg"", unit: ""teaspoon"", quantity: 0.125 }, { name: ""cinnamon"", unit: ""teaspoon"", quantity: 0.125 }] ","In a mixer, combine all ingredients until texture is smooth and creamy. Pour into glasses and sprinkle nutmeg and cinnamon on top, if desired.Serve immediately.",2,30,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTQa1CgwWlN2szrNB-MT2NSxdAn0sKCmFs-_g&usqp=CAU
3,3,Sweet and Salty Maple Party Mix,"You can quickly prepare this crunchy, sweet, salty and spicy party mix and divide it into servings for future training sessions or as a snack at school. By bringing a touch of color, texture, pleasure and a variety of ingredients, it’s definitely worth a try!","[ { name: ""Shreddies Cereal"", unit: ""cup(s)"", quantity: 1 }, { name: ""small salted pretzels"", unit: ""cup(s)"", quantity: 1 }, { name: ""roasted green peas"", unit: ""cup(s)"", quantity: 1 }, { name: ""roasted chickpeas"", unit: ""cup(s)"", quantity: 1 }, { name: ""roasted edamames"", unit: ""cup(s)"", quantity: 1 }, { name: ""unsalted whole roasted almonds"", unit: ""cup(s)"", quantity: 0.5 }, { name: ""plain popcorn"", unit: ""cup(s)"", quantity: 1 }, { name: ""smoked paprika"", unit: ""teaspoon"", quantity: 2 }, { name: ""ground chipotle"", unit: ""teaspoon"", quantity: 1 }, { name: ""salt"", unit: ""teaspoon"", quantity: 0.5 }, { name: ""olive oil"", unit: ""tablespoon"", quantity: 4 }, { name: ""maple syrup"", unit: ""cup(s)"", quantity: 0.5 }] ","In a large bowl, mix together all ingredients, except for the oil and maple syrup.Sprinkle mixture with olive oil. Sprinkle mixture with maple syrup.Mix well. Cook in oven at 375°F, for 10 to 15 minutes, shake mixture at half time. Let cool and serve.Store in an airtight container.",10,15,0,https://storage.googleapis.com/fillactive_storage/prod/medias/w640/media_manager/article_recettemelimelo.png
5,1,Apple and Maple Couscous,"This couscous is an efficient energy source and is an ideal pre workout breakfast or snack. It contains a combination of complex and simple carbohydrates, some protein, very little fat and essential vitamins and minerals","[ { name: ""water"", unit: ""cup(s)"", quantity: 0.5 }, { name: ""maple syrup"", unit: ""tablespoon"", quantity: 1 }, { name: ""dried apple slices"", unit: ""cup(s)"", quantity: 0.5 }, { name: ""dry wheat semolina"", unit: ""grams"", quantity: 150 }, { name: ""pumpkin seeds"", unit: ""tablespoon"", quantity: 2 }, { name: ""raspberries"", unit: ""cup(s)"", quantity: 0.25 }]",Add the water and maple syrup to a saucepan. Add the apple and bring to a boil. Remove from the heat and add the couscous. Cover and leave for 5 minutes or until the semolina has absorbed all the liquid and is soft. Garnish each serving with pumpkin seeds and raspberries.,2,5,3,https://storage.googleapis.com/fillactive_storage/prod/medias/w640/media_manager/article_recettecouscous.png
4,5,Chicken Fried Rice,"One-skillet, ready in 20 minutes, and you’ll never want takeout again after tasting how good homemade is!! Way more flavour, not greasy, and loads of juicy chicken.","[ { name: ""extra-virgin olive oil"", unit: ""tablespoons"", quantity: 3 }, { name: ""chicken breasts"", unit: ""grams"", quantity: 522 }, { name: ""kosher salt"", unit: ""teaspoon"", quantity: 1 }, { name: ""Freshly ground black pepper"", unit: ""teaspoon"", quantity: 0.5 }, { name: ""sesame oil"", unit: ""tablespoon"", quantity: 2 }, { name: ""onion"", unit: ""grams"", quantity: 170 }, { name: ""carrots peeled and diced"", unit: ""grams"", quantity: 50 }, { name: ""garlic cloves minced"", unit: ""grams"", quantity: 10 }, { name: ""freshly minced ginger"", unit: ""tablespoon"", quantity: 1 }, { name: ""cooked white rice"", unit: ""grams"", quantity: 1000 }, { name: ""frozen peas"", unit: ""grams"", quantity: 220 }, { name: ""large eggs beaten"", unit: ""grams"", quantity: 150 }, { name: ""low-sodium soy sauce"", unit: ""tablespoon"", quantity: 3 }, { name: ""green onions, thinly sliced"", unit: ""grams"", quantity: 50 }] ","In a medium skillet over medium heat, heat olive oil. Season chicken with salt and pepper on both sides, then add to skillet, and cook until golden and no longer pink, 8 minutes per side. Remove from skillet and let rest 5 minutes, then cut into bite-sized pieces.
To the same skillet, heat 1 tablespoon sesame oil. Add onion and carrots and cook until soft, 5 minutes, Add garlic and ginger and cook until fragrant, 1 minute more. Stir in rice and peas and cook until warmed through, 2 minutes.
Push rice to one side of skillet and add remaining tablespoon sesame oil to other side. Add egg and stir until almost fully cooked, then fold eggs into rice. Add chicken back to skill",6,40,4,https://image.shutterstock.com/image-photo/schezwan-chicken-fried-rice-black-260nw-1517080028.jpg
4,5,Spaghetti with Meat Sauce,Our favorite weeknight friendly spaghetti recipe with a meat sauce that is made completely from scratch.,"[ { name: ""beef"", unit: ""grams"", quantity: 450 }, { name: ""olive oil"", unit: ""tablespoons"", quantity: 3 }, { name: ""chopped onion"", unit: ""grams"", quantity: 130 }, { name: ""minced garlic cloves"", unit: ""grams"", quantity: 21 }, { name: ""tomato paste"", unit: ""tablespoon"", quantity: 2 }, { name: ""dried oregano"", unit: ""teaspoon"", quantity: 0.5 }, { name: ""crushed red pepper flakes_pinch"", unit: ""pinch"", quantity: 1 }, { name: ""water"", unit: ""ml"", quantity: 250 }, { name: ""crushed tomatoes"", unit: ""ounces"", quantity: 28 }, { name: ""salt"", unit: ""teaspoon"", quantity: 1 }, { name: ""fresh ground black pepper"", unit: ""teaspoon"", quantity: 1 }, { name: ""fresh basil leaves"", unit: ""grams"", quantity: 50 }, { name: ""dried spaghetti"", unit: ""ounces"", quantity: 12 }, { name: ""shredded parmesan cheese"", unit: ""cup(s)"", quantity: 0.5 }] ","DIRECTIONS
MAKE SAUCE
Heat the oil in a large pot over medium-high heat (we use a Dutch oven). Add the meat and cook until browned, about 8 minutes. As the meat cooks, use a wooden spoon to break it up into smaller crumbles.

Add the onions and cook, stirring every once and a while, until softened, about 5 minutes.

Stir in the garlic, tomato paste, oregano, and red pepper flakes and cook, stirring continuously for about 1 minute.

Pour in the water and use a wooden spoon to scrape up any bits of meat or onion stuck to the bottom of the pot. Stir in the tomatoes, 3/4 teaspoon of salt, and a generous pinch of black pepper. Bring the sauce to a low simmer. Cook, uncovered, at a low simmer for 25 minutes. As it cooks, stir and taste the sauce a few times so you can adjust the seasoning accordingly (see notes for suggestions).

COOK SPAGHETTI
About 15 minutes before the sauce finishes cooking, bring a large pot of salted water to the boil, and then cook pasta according to package directions, but check for doneness a minute or two before the suggested cooking time.

TO FINISH
Take the sauce off of the heat, and then stir in the basil. Toss in the cooked pasta, and then leave for a minute so that the pasta absorbs some of the sauce. Toss again, and then serve with parmesan sprinkled on top.",6,45,5,"https://res.cloudinary.com/de6puygvt/image/upload/w_1000,c_fill,ar_1:1,g_auto,r_max,bo_5px_solid_red,b_rgb:262c35/v1643926325/recipes/spaghetti/Spaghetti-with-Meat-Sauce-Recipe-3-1200_trhlns.jpg"
3,3,Chocolate Cupcakes,"Look no further. This simple, quick chocolate cupcakes recipe is rich and chocolaty with a moist and soft center.","[ { name: ""all purpose flour"", unit: ""grams"", quantity: 195 }, { name: ""unsweetened cocoa or cocoa powder, sifted if needed"", unit: ""grams"", quantity: 75 }, { name: ""baking soda"", unit: ""teaspoons"", quantity: 1.5 }, { name: ""fine sea salt"", unit: ""teaspoon"", quantity: 0.5 }, { name: ""granulated sugar"", unit: ""grams"", quantity: 150 }, { name: ""brown sugar"", unit: ""grams"", quantity: 150 }, { name: ""neutral oil or light and fruity olive oil"", unit: ""ml"", quantity: 120 }, { name: ""apple cider vinegar or white vinegar"", unit: ""ml"", quantity: 30 }, { name: ""vanilla extract"", unit: ""teaspoon"", quantity: 1 }, { name: ""hot coffee, can substitute hot water"", unit: ""ml"", quantity: 355 } ]","DIRECTIONS
MAKE BATTER
Heat the oven to 350 degrees Fahrenheit (176C). Line a 12-cup muffin pan with cupcake liners.

In a medium bowl, whisk the flour, cocoa powder, baking soda and salt until well blended. If your cocoa powder is lumpy, sift these ingredients instead.

In another medium bowl, whisk the sugars with the oil, vinegar and vanilla extract.

Switch to a large rubber spatula. Scrape the sides and bottom of the bowl then add the dry ingredients in two parts, gently stirring until they disappear. The batter will be very thick — that’s okay.

Pour in the hot coffee (or water) and stir until blended and the batter is mostly smooth.

BAKE CUPCAKES
Pour or spoon the batter into the liners, filling about 3/4 of the way to the top. Gently tap the pan on the work surface a few times to remove any large air bubbles from the batter, and then bake until the tops of the cupcakes are springy when touched and when a toothpick inserted into the center of the cake comes out clean, 20 to 25 minutes.

Cool cupcakes in the pan then frost or store, in an airtight container, at room temperature for 2 to 3 days, in the refrigerator 4 to 5 days or in the freezer up to two months.

MAKE BUTTERCREAM
This recipe makes enough frosting to generously frost the cupcakes. We typically have frosting leftover since we prefer our cupcakes with a bit less frosting on top. If you are swirling the frosting on using a piping tip, this recipe should be plenty.

Add butter (or vegan butter sticks) to a bowl and beat until light and fluffy using a handheld mixer (or use a stand mixer fitted with the paddle attachment).

If the powdered sugar is lumpy, sift it.

Add the vanilla, salt and sugar until well incorporated and the frosting is fluffy. If it seem too thick, thin it out with a splash of cream, milk or non-dairy milk. If it is too thin, add 1/4 to 1/2 cup more powdered sugar.

Store the frosting in an air-tight container for up to 5 days in the refrigerator or freeze up to two months.",16,30,0,https://res.cloudinary.com/de6puygvt/image/upload/v1643930810/recipes/Easy-Chocolate-Cupcakes-Recipe-2-1200_rphtkb.jpg
2,2,The Best Mimosa at Home,"Mimosas are a delicious combination of sparkling wine, and orange juice. They are simple, fun, and perfect to serve to company.","[ { name: ""chilled dry sparkling wine"", unit: ""ml"", quantity: 750 }, { name: ""chilled orange juice"", unit: ""ml"", quantity: 750 }, { name: ""grand marnier"", unit: ""ml"", quantity: 120 }]","Fill eight champagne flutes half full with chilled sparkling wine. Top with orange juice. If you are using it, add 1 tablespoon of Grand Marnier to each glass.
TIPS:
To make 1 mimosa cocktail: In a champagne flute, combine 1/3 cup chilled sparkling wine, 1/3 cup chilled orange juice and 1 tablespoon Grand Marnier or triple sec.",8,5,1,https://res.cloudinary.com/de6puygvt/image/upload/v1643931558/recipes/Mimosa-Cocktail-Recipe-1-1200_n1fwh6.jpg
3,5,Chocolate Peanut Butter Banana smoothie,"Deliciously creamy chocolate peanut butter banana smoothie that seriously tastes like a Wendy’s frosty! This healthy chocolate banana smoothie recipe is made with just five ingredients and is easy to customize with your favorite nutritional boosters. The perfect breakfast, snack or even dessert!","[ { name: ""banana"", unit: ""grams"", quantity: 100 }, { name: ""cacao powder"", unit: ""tablespoon"", quantity: 1 }, { name: ""peanut butter"", unit: ""tablespoon"", quantity: 1 }, { name: ""vanilla extract"", unit: ""ml"", quantity: 2 }, { name: ""milk"", unit: ""ml"", quantity: 150 } ] ","In a large high-powered blender, add in all ingredients and blend on high for 1-2 minutes or until all ingredients are well combined. Start with 1 tablespoon of cacao powder, but feel free to add another if you like it extra chocolatey. If necessary, add in more almond milk to thin the smoothie. Makes 1 smoothie. Feel free to double the recipe to serve 2.",1,5,2,https://www.ambitiouskitchen.com/wp-content/uploads/2021/04/Chocolate-Peanut-Butter-Banana-Smoothie-5-594x594.jpg
1,5,Grilled Cheese,"Bread, butter and Cheddar cheese - here's a way to make this classic sandwich in a nonstick pan.","[ { name: ""bread"", unit: ""slices"", quantity: 4 }, { name: ""butter"", unit: ""tablespoon"", quantity: 3 }, { name: ""Cheddar Cheese"", unit: ""slices"", quantity: 2 } ]","Preheat skillet over medium heat. Generously butter one side of a slice of bread. Place bread butter-side-down onto skillet bottom and add 1 slice of cheese. Butter a second slice of bread on one side and place butter-side-up on top of sandwich. Grill until lightly browned and flip over; continue grilling until cheese is melted. Repeat with remaining 2 slices of bread, butter and slice of cheese.",2,20,3,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fstatic.onecms.io%2Fwp-content%2Fuploads%2Fsites%2F43%2F2016%2F10%2F2206436_Grilled-Cheese-Sandwich_Photo-by-Buckwheat-Queen.jpg
