user_id,recipe_id,value
10,3,"The taste is beyond words, it's like comfort food, but fancy in taste!"
9,4,"Easy to make and proportions are spot on the recipe is excellent I wouldn't change a thing"
8,3,"Excellent recipe!!!"
7,4,"This recipe is all you need to accomplish an amazing dinner!!! My family loved it!"
6,5,"This looks so delicious! I am putting this on my to-make list - I love any kind of chicken and rice combo."
5,6,"I had this recipe saved for months before I finally decided to try it out. I've only recently gotten more comfortable in the kitchen. It turned out really great. It was a big hit with my 16 year old.I followed the recipe to a tee. Just wanted to say thank you! for adding to this home chef-in-training's repertoire. We loved it!"
4,7,"It was so delicious! I always love reading Marta's recipes, easy to follow, entertaining and pure flavour. Soaking the rice really makes the trick, it's the first time I make this dish and I couldn't be happier. I didn't have shrimp (covid-19 limitations) but it still came out great! I also like that you get one full meal in just one pot! Works great as a meal prep. I just vary the sides."
3,5,"My kids loved this dish. I was happy to have leftovers. The flavors are just great."
2,9,"Must be an acquired taste. It looked fantastic, but there was a flavor that overwhelmed everything else for me."
1,10,"World’s best grilled cheese!!"
10,7,"I had this recipe saved for months before I finally decided to try it out. I've only recently gotten more comfortable in the kitchen. It turned out really great. It was a big hit with my 16 year old.I followed the recipe to a tee. Just wanted to say thank you! for adding to this home chef-in-training's repertoire. We loved it!"
7,3,"We loved it!"
6,1,"It was so delicious"
